tconst	averageRating	numVotes
tt4453756	8.2	13
tt4457344	6.2	3079
tt4457678	5.2	95
tt4458344	7.5	15
tt4458946	4.3	26
tt4459156	7.0	129
tt4460122	6.4	69
tt4460624	5.7	189
tt4461060	9.1	37
tt4461960	6.2	21
tt4464270	5.4	96
tt4464394	4.1	1553
tt4464508	7.6	15
tt4465564	4.6	73006
tt4466894	5.5	1570
tt4468740	7.9	30569
tt4472084	8.4	21
tt4472486	7.7	22
tt4473054	6.4	226
tt4474930	6.5	6
tt4477888	9.2	17
tt4481414	7.6	69303
tt4481514	5.6	26119
tt4485548	8.0	5
tt4485806	4.4	349
tt4486868	5.3	29
tt4488840	4.5	247
tt4489562	6.4	123
tt4490220	5.0	50
tt4493550	7.2	34
tt4494230	6.5	141
tt4494382	5.2	505
tt4494718	6.3	2431
tt4497978	6.2	66
tt4498058	2.8	17
tt4498092	4.6	51
tt4498760	3.6	190
tt4499730	6.4	31
tt4500214	7.4	10
tt4502432	6.8	10
tt4502952	7.8	6
tt4505994	5.0	81
tt4509260	7.5	10
tt4513110	5.9	7
tt4513316	6.6	2097
tt4513538	4.6	351
tt4514646	5.6	246
tt4514926	8.2	10
tt4515762	4.3	393
tt4516040	8.2	6
tt4516352	4.6	736
tt4517634	9.4	9
tt4519124	8.7	12
tt4519382	6.5	26
tt4519400	3.2	665
tt4520518	3.5	89
tt4520924	6.5	237
tt4521654	7.2	62
tt4521686	4.1	20
tt4523450	8.0	7
tt4526136	4.8	245
tt4526372	3.5	215
tt4537888	4.4	1956
tt4537986	5.3	1358
tt4538632	1.8	34
