tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt2246918	movie	Hybrid Vigor	Hybrid Vigor	0	2017	\N	\N	Drama,Horror,Mystery
tt2249081	movie	The Forgiven	The Forgiven	0	2017	\N	115	Thriller
tt2250912	movie	Spider-Man: Homecoming	Spider-Man: Homecoming	0	2017	\N	133	Action,Adventure,Sci-Fi
tt2258058	movie	High & Outside: a baseball noir	High & Outside: a baseball noir	0	2017	\N	\N	Drama,Sport
tt2258351	movie	First Law	First Law	0	2017	\N	90	Drama
tt2261803	movie	Occhi Chiusi	Occhi Chiusi	0	2017	\N	84	Thriller
tt2262216	movie	Doobious Sources	Doobious Sources	0	2017	\N	102	Comedy
tt2262716	movie	Blood Demon Rising	Blood Demon Rising	0	2017	\N	93	Horror,Thriller
tt2265651	movie	Untouched	Untouched	0	2017	\N	80	Crime,Drama
tt2266704	movie	Mad Frankie Fraser	Mad Frankie Fraser	0	2017	\N	\N	Documentary
tt2273401	movie	Man with Van	Man with Van	0	2017	\N	80	Crime,Drama,Thriller
tt2273621	movie	The Runner	The Runner	0	2017	\N	93	Sport
tt2273648	movie	Adrenochrome	Misirlou	0	2017	\N	85	Action,Fantasy,Horror
tt2275641	movie	Diaries of a Dreamer	Diaries of a Dreamer	0	2017	\N	\N	Documentary
tt2279025	movie	Hunter's Moon	Hunter's Moon	0	2017	\N	90	Action,Adventure,Crime
tt2283362	movie	Jumanji: Welcome to the Jungle	Jumanji: Welcome to the Jungle	0	2017	\N	119	Action,Adventure,Comedy
tt2283394	movie	Liwa Mairin y el mito del eterno retorno	Liwa Mairin y el mito del eterno retorno	0	2017	\N	\N	Documentary
tt2285614	movie	Retreat	Retreat	0	2017	\N	\N	Comedy
tt2287046	movie	Chasing Notes	Chasing Notes	0	2017	\N	78	Documentary
tt2291540	movie	My Friend Dahmer	My Friend Dahmer	0	2017	\N	107	Biography,Drama,Horror
tt2292168	movie	The Street Where We Live	The Street Where We Live	0	2017	\N	100	Drama
tt2293060	movie	Americons	Americons	0	2017	\N	89	Action,Biography,Crime
tt2297404	movie	Sessiz Ciglik	Sessiz Ciglik	0	2017	\N	110	Drama
tt2302416	movie	In the Shadows	In the Shadows	0	2017	\N	117	Drama,Thriller
tt2306441	movie	Middleground	Middleground	0	2017	\N	91	Drama,Romance
tt2311532	movie	Inferno d'August Strindberg	Inferno d'August Strindberg	0	2017	\N	96	Drama
tt2312184	movie	All About the Money	All About the Money	0	2017	\N	90	Action,Adventure,Comedy
tt2316204	movie	Alien: Covenant	Alien: Covenant	0	2017	\N	122	Horror,Sci-Fi,Thriller
tt2317690	movie	Fraternitas	Fraternitas	0	2017	\N	\N	Drama
tt2321536	movie	The Golden Calf	The Golden Calf	0	2017	\N	\N	Adventure,Family,Mystery
tt2326019	movie	The Lovely Rejects	The Lovely Rejects	0	2017	\N	80	Crime
tt2331047	movie	Rememory	Rememory	0	2017	\N	111	Drama,Mystery,Sci-Fi
tt2331100	movie	Walk with Me	Walk with Me	0	2017	\N	94	Documentary
tt2332833	movie	The Milkman	The Milkman	0	2017	\N	\N	Horror
tt2334871	movie	Snatched	Snatched	0	2017	\N	90	Action,Comedy
tt2336014	movie	Pop, Lock 'n Roll	Pop, Lock 'n Roll	0	2017	\N	\N	Music
tt2337841	movie	Bottom of the World	Bottom of the World	0	2017	\N	85	Drama,Mystery,Thriller
tt2338088	movie	Without Ward	Without Ward	0	2017	\N	\N	Drama,Romance,Sci-Fi
tt2338454	movie	Unicorn Store	Unicorn Store	0	2017	\N	92	Comedy
tt2339751	movie	Toxic Valley	Toxic Valley	0	2017	\N	60	Documentary
tt2340142	movie	Empire of the Heart	Empire of the Heart	0	2017	\N	\N	Crime,Drama
tt2345759	movie	The Mummy	The Mummy	0	2017	\N	110	Action,Adventure,Fantasy
tt2346536	movie	Rivers of Australia: A Journey Along the Murray	Rivers of Australia: A Journey Along the Murray	0	2017	\N	90	Documentary
tt2347678	movie	Busted	The Cheaters Club	0	2017	\N	83	Drama
tt2349608	movie	Fairy Out of Wedluck	Parinaaz	0	2017	\N	90	Drama
tt2353861	movie	Brick Madness	Brick Madness	0	2017	\N	\N	Comedy
